Title,Price,Bedrooms,Bathrooms,Areas,Location,Url
"3 Storey Hyperlink Terrace Duta Villa, Presint 14, Putrajaya FOR SALE",RM 1 467 000,6 Bedrooms,6 Bathrooms,3660 sq.ft.,Putrajaya,https://www.mudah.my/3+Storey+Hyperlink+Terrace+Duta+Villa+Presint+14+Putrajaya+FOR+SALE-88597931.htm
Semi-D Double Storey House Presint 14 Putrajaya,RM 1 250 000,5 Bedrooms,5 Bathrooms,3200 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+Double+Storey+House+Presint+14+Putrajaya-88598387.htm
Putrajaya Presint 18 Semi D[Depan Tasek Termurah ]Bum Lot Bank Lellong,RM 548 000,5 Bedrooms,5 Bathrooms,40000 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+Presint+18+Semi+D+Depan+Tasek+Termurah+Bum+Lot+Bank+Lellong-87370057.htm
Putrajaya Presint16 Corner Lot 40x100 Semi D Bum Lot Bank Lellong,RM 601 000,5 Bedrooms,5 Bathrooms,3500 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+Presint16+Corner+Lot+40x100+Semi+D+Bum+Lot+Bank+Lellong-87372011.htm
Putrajaya Precinct16 Desiran Bayu Semi D BumiLot BankLellong,RM 618 000,5 Bedrooms,5 Bathrooms,4000 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+Precinct16+Desiran+Bayu+Semi+D+BumiLot+BankLellong-87371738.htm
Putrajaya 45x98 SemiD Duta Villa Presint 14 Surau100m Bumi BankLellong,RM 518 000,5 Bedrooms,5 Bathrooms,3864 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+45x98+SemiD+Duta+Villa+Presint+14+Surau100m+Bumi+BankLellong-87372376.htm
[Semi D Look Alike] 2 Storey Link House Presint 11 Putrajaya,RM 920 000,4 Bedrooms,3 Bathrooms,3287 sq.ft.,Putrajaya,https://www.mudah.my/+Semi+D+Look+Alike+2+Storey+Link+House+Presint+11+Putrajaya-88598254.htm
"END LOT 2 Storey Terrace Presint 14, Putrajaya (Facing Open)",RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/END+LOT+2+Storey+Terrace+Presint+14+Putrajaya+Facing+Open+-88533729.htm
"End Lot Double Storey Terrace House, Presint 14, Putrajaya FOR SALE",RM 850 000,4 Bedrooms,3 Bathrooms,1950 sq.ft.,Putrajaya,https://www.mudah.my/End+Lot+Double+Storey+Terrace+House+Presint+14+Putrajaya+FOR+SALE-88597830.htm
CHEAPEST CORNER LOT SEMI-D 2 Storey House Presint 16 Putrajaya,RM 1 200 000,4 Bedrooms,3 Bathrooms,4250 sq.ft.,Putrajaya,https://www.mudah.my/CHEAPEST+CORNER+LOT+SEMI+D+2+Storey+House+Presint+16+Putrajaya-88384937.htm
[facing lake] semi d presint 18 putrajaya,RM 1 400 000,6 Bedrooms,5 Bathrooms,3300 sq.ft.,Putrajaya,https://www.mudah.my/+facing+lake+semi+d+presint+18+putrajaya-87351563.htm
FLEXIBLE DEPOSIT Double Storey Terrace (22x70) Precint 11 Putrajaya,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/FLEXIBLE+DEPOSIT+Double+Storey+Terrace+22x70+Precint+11+Putrajaya-88500647.htm
"2.5Sty Augusta Residence, Luxury Semi D Presint 12 Putrajaya FOR SALE",RM 2 173 139,6 Bedrooms,6 Bathrooms,4291 sq.ft.,Putrajaya,https://www.mudah.my/2+5Sty+Augusta+Residence+Luxury+Semi+D+Presint+12+Putrajaya+FOR+SALE-88595628.htm
Freehold Double Sty Terrace Presint 11 Putrajaya,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/Freehold+Double+Sty+Terrace+Presint+11+Putrajaya-88513395.htm
PRICE DROP!! Putrajaya Near Tasik House For Sale,RM 995 000,6 Bedrooms,5 Bathrooms,3321 sq.ft.,Putrajaya,https://www.mudah.my/PRICE+DROP+Putrajaya+Near+Tasik+House+For+Sale-82182847.htm
"Big Freehold 2 Storey 30x85 Rebate20% Last 2 Unit , Near PUTRAJAYA",RM 378 888,4 Bedrooms,4 Bathrooms,3514 sq.ft.,Putrajaya,https://www.mudah.my/Big+Freehold+2+Storey+30x85+Rebate20+Last+2+Unit+Near+PUTRAJAYA-85969301.htm
EXCLUSIVE ( BUNGALOW ) House ( POOL+ LIFT ) Danau Suria P16 PUTRAJAYA,RM 2 800 000,6 Bedrooms,6 Bathrooms,4220 sq.ft.,Putrajaya,https://www.mudah.my/EXCLUSIVE+BUNGALOW+House+POOL+LIFT+Danau+Suria+P16+PUTRAJAYA-70772456.htm
2 Storey Terrace House Presint 11 Putrajaya,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/2+Storey+Terrace+House+Presint+11+Putrajaya-88589317.htm
Putrajaya semi d concept!! freehold 2 storey 35x100 [0%d/p] call now,RM 425 000,4 Bedrooms,4 Bathrooms,3790 sq.ft.,Putrajaya,https://www.mudah.my/Putrajaya+semi+d+concept+freehold+2+storey+35x100+0+d+p+call+now-85381643.htm
"FREEHOLD, END LOT 2 Storey Terrace House, Presint 14, Putrajaya",RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/FREEHOLD+END+LOT+2+Storey+Terrace+House+Presint+14+Putrajaya-88588196.htm
